,Date,NIKKEI 225
421,1981-08-07,7968.930176000001
422,1981-08-10,7978.470215
423,1981-08-11,7985.640137
424,1981-08-12,7938.890137
425,1981-08-13,7953.569823999999
426,1981-08-14,7976.399901999999
427,1981-08-17,8019.140137
428,1981-08-18,7949.379883
429,1981-08-19,7961.52002
430,1981-08-20,7972.959961
431,1981-08-21,7995.22998
432,1981-08-24,7917.529785
433,1981-08-25,7817.220215
434,1981-08-26,7852.290039
435,1981-08-27,7796.390137
436,1981-08-28,7726.589844
437,1981-08-31,7815.779785
438,1981-09-01,7735.709961
439,1981-09-02,7678.169922
440,1981-09-03,7678.459961
441,1981-09-04,7662.589844
442,1981-09-07,7604.169922
443,1981-09-08,7594.709961
444,1981-09-09,7629.169922
445,1981-09-10,7583.27002
446,1981-09-11,7543.450195
447,1981-09-14,7542.819823999999
449,1981-09-16,7506.330078
450,1981-09-17,7539.27002
451,1981-09-18,7548.569823999999
452,1981-09-21,7522.600098000001
453,1981-09-22,7492.959961
455,1981-09-24,7364.029785
456,1981-09-25,7363.060059
457,1981-09-28,7037.120117
458,1981-09-29,7357.680176000001
459,1981-09-30,7455.5
460,1981-10-01,7365.910156
461,1981-10-02,7377.129883
462,1981-10-05,7499.75
463,1981-10-06,7506.009765999999
464,1981-10-07,7545.879883
465,1981-10-08,7522.509765999999
466,1981-10-09,7516.220215
467,1981-10-12,7587.799805
468,1981-10-13,7583.169922
469,1981-10-14,7494.129883
470,1981-10-15,7352.490234000001
471,1981-10-16,7231.419922
472,1981-10-19,7076.649901999999
473,1981-10-20,7109.919922
474,1981-10-21,7253.990234000001
475,1981-10-22,7216.290039
476,1981-10-23,7262.189941
477,1981-10-26,7261.799805
478,1981-10-27,7280.580078
479,1981-10-28,7321.97998
480,1981-10-29,7428.25
481,1981-10-30,7449.459961
482,1981-11-02,7539.629883
484,1981-11-04,7572.149901999999
485,1981-11-05,7546.5
486,1981-11-06,7536.529785
487,1981-11-09,7516.350098000001
488,1981-11-10,7528.209961
489,1981-11-11,7502.580078
490,1981-11-12,7505.02002
491,1981-11-13,7569.509765999999
492,1981-11-16,7674.919922
493,1981-11-17,7648.600098000001
494,1981-11-18,7667.310059
495,1981-11-19,7655.259765999999
496,1981-11-20,7647.430176000001
498,1981-11-24,7602.689941
499,1981-11-25,7650.790039
500,1981-11-26,7664.689941
501,1981-11-27,7555.22998
502,1981-11-30,7549.330078
503,1981-12-01,7521.72998
504,1981-12-02,7566.169922
505,1981-12-03,7624.97998
506,1981-12-04,7716.129883
507,1981-12-07,7789.160156
508,1981-12-08,7752.430176000001
509,1981-12-09,7743.120117
510,1981-12-10,7746.910156
511,1981-12-11,7730.879883
512,1981-12-14,7654.169922
513,1981-12-15,7680.890137
514,1981-12-16,7674.649901999999
515,1981-12-17,7682.529785
516,1981-12-18,7669.930176000001
517,1981-12-21,7668.899901999999
518,1981-12-22,7644.569823999999
519,1981-12-23,7681.990234000001
520,1981-12-24,7662.47998
521,1981-12-25,7665.02002
522,1981-12-28,7681.839844
523,1981-12-29,7681.839844
524,1981-12-30,7681.839844
527,1982-01-04,7718.839844
528,1982-01-05,7719.339844
529,1982-01-06,7697.600098000001
530,1982-01-07,7691.220215
531,1982-01-08,7662.220215
532,1982-01-11,7675.259765999999
533,1982-01-12,7631.77002
534,1982-01-13,7635.660156
535,1982-01-14,7667.02002
537,1982-01-18,7659.339844
538,1982-01-19,7677.069823999999
539,1982-01-20,7717.22998
540,1982-01-21,7737.509765999999
541,1982-01-22,7823.359863
542,1982-01-25,7906.259765999999
543,1982-01-26,7863.399901999999
544,1982-01-27,7926.549805
545,1982-01-28,7903.850098000001
546,1982-01-29,7918.819823999999
547,1982-02-01,7909.790039
548,1982-02-02,7828.0
549,1982-02-03,7860.939941
550,1982-02-04,7834.700195
551,1982-02-05,7801.879883
552,1982-02-08,7784.890137
553,1982-02-09,7794.189941
554,1982-02-10,7761.109863
556,1982-02-12,7690.290039
557,1982-02-15,7694.180176000001
558,1982-02-16,7693.919922
559,1982-02-17,7644.390137
560,1982-02-18,7683.759765999999
561,1982-02-19,7713.310059
562,1982-02-22,7758.359863
563,1982-02-23,7714.560059
564,1982-02-24,7664.02002
565,1982-02-25,7580.450195
566,1982-02-26,7548.509765999999
567,1982-03-01,7327.439941
568,1982-03-02,7309.410156
569,1982-03-03,7474.419922
570,1982-03-04,7354.819823999999
571,1982-03-05,7285.540039
572,1982-03-08,7248.470215
573,1982-03-09,7195.799805
574,1982-03-10,7292.910156
575,1982-03-11,7257.339844
576,1982-03-12,7102.609863
577,1982-03-15,7078.680176000001
578,1982-03-16,6916.990234000001
579,1982-03-17,6889.529785
580,1982-03-18,7052.799805
581,1982-03-19,7065.379883
583,1982-03-23,7097.799805
584,1982-03-24,7194.310059
585,1982-03-25,7175.160156
586,1982-03-26,7203.819823999999
587,1982-03-29,7199.160156
588,1982-03-30,7193.830078
589,1982-03-31,7260.47998
590,1982-04-01,7293.669922
591,1982-04-02,7332.959961
592,1982-04-05,7344.350098000001
593,1982-04-06,7293.589844
594,1982-04-07,7230.529785
595,1982-04-08,7204.649901999999
596,1982-04-09,7209.209961
